date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2024-10-22,9995,10145,9870,10010,35,456910,10010.0,10010.0,0.0,0.0,0.0
2024-10-23,10035,10335,10000,10120,110,891193,10026.9231,10018.1481,8.7749,1.755,7.02
2024-10-24,10110,10200,10025,10045,75,535454,10029.7041,10020.1372,9.567,3.3174,6.25
2024-10-25,10115,10250,10015,10095,50,567747,10039.7497,10025.6826,14.0671,5.4673,8.6
2024-10-28,10100,10100,9670,9695,400,654545,9986.7112,10001.1876,-14.4763,1.4786,-15.95
2024-10-29,9680,9795,9510,9610,85,605716,9928.7557,9972.2107,-43.455,-7.5081,-35.95
2024-10-30,9625,9625,9440,9545,65,511180,9869.7163,9940.5655,-70.8491,-20.1763,-50.67
2024-10-31,9520,9565,9275,9400,145,512478,9797.4523,9900.5236,-103.0713,-36.7553,-66.32
2024-11-01,9330,9330,9005,9160,240,440253,9699.3827,9845.67,-146.2873,-58.6617,-87.63
2024-11-04,9165,9260,9050,9175,15,461265,9618.7084,9795.9907,-177.2823,-82.3858,-94.9
2024-11-05,9160,9395,9095,9205,30,388224,9555.061,9752.2136,-197.1526,-105.3392,-91.81
2024-11-06,9250,9520,9040,9495,290,476022,9545.8208,9733.1608,-187.3399,-121.7393,-65.6
2024-11-07,9605,10705,9605,10590,1095,1220234,9706.4638,9796.6303,-90.1666,-115.4248,25.26
2024-11-08,10920,11215,10455,10720,130,916302,9862.3924,9865.0281,-2.6357,-92.867,90.23
2024-11-11,10840,11045,10790,10950,230,779327,10029.7167,9945.3964,84.3203,-57.4295,141.75
2024-11-12,11075,11130,10615,10635,315,779006,10122.8372,9996.4781,126.3591,-20.6718,147.03
2024-11-13,10770,10830,10290,10290,345,478915,10148.5545,10018.2205,130.334,9.5294,120.8
2024-11-14,10400,11155,10400,11155,865,526670,10303.3923,10102.4264,200.9659,47.8167,153.15
2024-11-15,11125,11220,10730,11005,150,510428,10411.332,10169.2837,242.0483,86.663,155.39
2024-11-18,10925,11260,10735,11180,175,445760,10529.5886,10244.1516,285.437,126.4178,159.02
2024-11-19,11255,11715,11065,11185,5,663989,10630.4211,10313.844,316.5771,164.4497,152.13
2024-11-20,11200,11625,11125,11565,380,408400,10774.2025,10406.5223,367.6802,205.0958,162.58
2024-11-21,11585,11640,11100,11290,275,760112,10853.5559,10471.9651,381.5909,240.3948,141.2
2024-11-22,11345,11600,11160,11570,280,503512,10963.7781,10553.301,410.4771,274.4113,136.07
2024-11-25,11710,12030,11615,11840,270,501396,11098.5815,10648.612,449.9695,309.5229,140.45
2024-11-26,11775,11825,11495,11520,320,405261,11163.4151,10713.1593,450.2558,337.6695,112.59
2024-11-27,11550,11825,11530,11580,60,385450,11227.5051,10777.3697,450.1354,360.1627,89.97
2024-11-28,11580,11730,11350,11410,170,328850,11255.5812,10824.2312,431.35,374.4001,56.95
2024-11-29,11425,11425,11065,11155,255,419624,11240.1072,10848.7326,391.3746,377.795,13.58
2024-12-02,11250,11250,10565,10660,495,692200,11150.8599,10834.7524,316.1075,365.4575,-49.35
2024-12-03,10660,10890,10660,10845,185,389342,11103.8046,10835.5115,268.2931,346.0246,-77.73
2024-12-04,10495,10865,10390,10805,40,747714,11057.8346,10833.2514,224.5832,321.7364,-97.15
2024-12-05,10825,10925,10580,10615,190,333499,10989.7062,10817.0846,172.6216,291.9134,-119.29
2024-12-06,10590,10590,10040,10395,220,547315,10898.213,10785.8191,112.3939,256.0095,-143.62
2024-12-09,10050,10270,9985,10075,320,529037,10771.5648,10733.1658,38.399,212.4874,-174.09
2024-12-10,10200,10650,10150,10600,525,636127,10745.1702,10723.3017,21.8685,174.3636,-152.5
2024-12-11,10595,11355,10520,11320,720,695843,10833.6056,10767.5016,66.104,152.7117,-86.61
2024-12-12,11355,11395,11140,11395,75,501357,10919.9739,10813.9829,105.991,143.3676,-37.38
2024-12-13,11395,11605,11155,11550,155,450393,11016.901,10868.5027,148.3983,144.3737,4.02
2024-12-16,11680,11680,11265,11435,115,393797,11081.2239,10910.4655,170.7585,149.6507,21.11
2024-12-17,11385,11620,11255,11385,50,310130,11127.9587,10945.6162,182.3426,156.189,26.15
2024-12-18,11385,11850,11335,11445,60,647984,11176.7343,10982.6076,194.1267,163.7766,30.35
2024-12-19,11065,11820,11065,11685,240,460617,11254.929,11034.6366,220.2924,175.0797,45.21
2024-12-20,11795,11995,11635,11770,85,589672,11334.1707,11089.108,245.0627,189.0763,55.99
2024-12-23,11945,12410,11945,12385,615,766805,11495.8368,11185.1,310.7368,213.4084,97.33
2024-12-24,12515,12610,12140,12295,90,586057,11618.785,11267.3148,351.4701,241.0208,110.45
2024-12-26,12510,13000,12425,12930,635,876843,11820.5103,11390.4767,430.0337,278.8233,151.21
2024-12-27,12930,12930,12490,12660,270,939322,11949.6626,11484.5154,465.1472,316.0881,149.06
2024-12-30,12660,12820,12455,12600,60,437015,12049.7145,11567.1439,482.5706,349.3846,133.19
2025-01-02,12610,12960,12520,12760,160,635270,12158.9892,11655.5036,503.4856,380.2048,123.28
2025-01-03,12790,13125,12360,12475,285,1009421,12207.6062,11716.2071,491.3992,402.4437,88.96
2025-01-06,12475,12590,12180,12580,105,723312,12264.8976,11780.1917,484.7059,418.8961,65.81
2025-01-07,12750,13240,12735,13070,490,848858,12388.7595,11875.7331,513.0264,437.7222,75.3
2025-01-08,13195,13515,13075,13495,425,860318,12558.9503,11995.6788,563.2716,462.832,100.44
2025-01-09,13495,13745,13285,13635,140,851200,12724.4964,12117.11,607.3865,491.7429,115.64
2025-01-10,13600,13865,13430,13830,195,844219,12894.5739,12243.9907,650.5832,523.511,127.07
2025-01-13,13805,13805,13300,13610,220,1130398,13004.6395,12345.1766,659.4629,550.7014,108.76
2025-01-14,13725,14115,13710,13825,215,1029838,13130.8488,12454.7931,676.0556,575.7722,100.28
2025-01-15,13825,14560,13825,14460,635,1139372,13335.3336,12603.327,732.0066,607.0191,124.99
